passengerCount,tripTimeHr,distanceDriven,Fare,Tolls,TotalFare,Trips,pickup,dropoff
120,27.563857,415.869996607304,1517,0,1702.80999755859,79,BK78,BK95
3,0.699999,10.8699998855591,39.5,0,45.7000007629395,2,BK50,BK77
242,57.016370,698.699999809265,2581,0,2610,49,QN35,BK34
292,22.236040,336.44999942556,1483.5,0,1714.83999919891,179,QN20,QN21
130,42.953590,1004.43999886513,3039.5,80.5299997329712,3297.36000823975,71,MN33,BK34
2,0.353610,8.52999997138977,29,0,30,2,BX07,BX14
2,0.106943,3.25000005960464,13,0,17.8000001907349,2,QN98,QN10
6,2.688887,61.4600009918213,192.5,0,202.5,5,BK35,BK27
8,5.594720,163.819997787476,458,24.4099998474121,493.910003662109,6,MN23,QN98
1,0.491666,10.6000003814697,33,0,33.5,1,QN25,BK33
69,7.876649,106.810000240803,460.5,0,537.599999427795,42,BK79,BK96
33,9.738325,355.739999771118,980,0,1048.29999923706,22,QN70,QN66
5,0.823054,21.1399993896484,67.5,0,76.5,4,BX07,BX55
28,6.821936,138.199999570847,452,0,502.819999694824,19,BX14,BX44
3,1.805555,31.3500003814697,107,0,110,3,QN76,BK91
42,15.851103,350.019999504089,1006.5,5.32999992370605,1060.03000259399,23,QN76,QN68
1,0.543055,19.6000003814697,53.5,0,60.5,1,QN53,BK25
125,35.137470,598.460000872612,2021.5,21.3199996948242,2331.41000175476,80,BK32,MN21
67,3.793041,57.5300004780293,467.5,0,510.129999160767,38,BK17,BK44
4,1.047498,22.4000000953674,71,0,73.5,3,QN23,QN20
327,32.057980,473.919997990131,2014,0,2376.29999780655,199,BK34,BK37
30,8.178879,144.729999899864,513.5,20.789999961853,629.580004692078,20,QN26,MN23
448,127.502398,2606.48999637365,8923,692.959995269775,10726.5001354218,262,QN17,MN23
51770,8551.842143,115039.100013202,456355.100000381,4807.37996392138,525745.060359478,29415,MN17,QN68
1,0.833333,23.1299991607666,63,10.6599998474121,87.9599990844727,1,BK98,BK29
21,4.249996,83.5700001716614,271.5,0,306.900001525879,11,BK35,QN55
11,2.468887,34.4500002861023,128,0,152.329999923706,5,BK43,BK35
1,0.556388,17.1000003814697,47.5,5.32999992370605,53.8300018310547,1,QN25,BX03
2,1.379166,26.9700002670288,87.5,0,89,2,BK97,BK17
6,1.683333,28.7299995422363,76.5,5.32999992370605,82.8300018310547,2,QN01,QN96
3617,873.109210,16224.2800101638,54515.8999996185,807.569994926453,61142.6801319122,2072,MN40,QN18
20,3.422496,79.539999961853,245.5,0,271.099998474121,7,QN18,BK63
54,18.870545,509.499999046326,1490,31.4499998092651,1623.55001068115,36,BK38,BX35
65,18.543878,437.939997673035,1343.5,58.0999994277954,1615.38000869751,29,MN35,BK33
3621,529.897551,7306.4900046885,29987,0,35506.7000293732,2060,BK64,MN27
4564,764.193413,11099.0000178665,42421,5.32999992370605,48628.0600142479,2643,MN03,MN31
5857,1587.810931,24601.7200257778,88054,1727.53998613358,104417.170190811,3332,BK37,MN15
2,0.993333,16.2799997329712,57,5.32999992370605,65.3299999237061,2,BX35,QN68
1,0.333333,11.3699998855591,32,0,32.5,1,SI00,BK19
301,55.252159,769.240000396967,2968.5,0,3477.89000320435,185,BK77,BK63
21,16.671660,720.920001983643,2561.5,9.51999998092651,2975.81999969482,17,MN22,CT
7,2.562220,59.9999992847443,183.5,20.789999961853,229.810001373291,6,QN08,LGA
5,2.024998,59.6400003433228,169.5,0,178,4,BK42,QN95
2,0.566666,14.2399998009205,43.5,5.32999992370605,49.8300018310547,2,MN03,QN97
427,147.353513,3928.02000179887,11443.5,909.399995803833,13573.8301811218,253,MN40,QN47
980,282.699199,6698.01000189781,21741,48.6099996566772,24981.7599906921,591,BK61,JFK
1014,264.114761,5697.2999972105,17681,719.489994525909,21127.740067482,609,MN24,BK46
7,1.683886,29.460000038147,117,0,130.5,7,BX27,BX49
7,1.746388,46.6199998855591,147.5,5.32999992370605,179.279998779297,3,QN46,MN23
8,2.803052,81.8599996566772,241,0,247.5,7,BK82,BK19
16,1.922497,42.0700011253357,136.5,0,145.60000038147,6,BX34,BX44
23,12.211938,567.190002441406,2656.05000305176,30.5399997234344,2951.86000061035,17,MN34,CT
40469,5985.893877,111353.729969161,380694.5,112.44000005722,433480.020228863,23596,MN20,MN34
23,7.816938,193.699999809265,555,15.460000038147,644.130001068115,14,BK77,MN06
174,71.721068,2150.4000082016,6123.5,10.6599998474121,6772.12998580933,118,MN25,BX44
17,2.764164,101.030001163483,420,0,457.350002288818,11,QN49,LI
3,0.727777,23.5,67.5,0,69.5,2,BK77,QN23
4643,1277.852843,30607.6899901107,93859,574.739995956421,101931.61009407,2689,MN17,BX09
2,0.985000,31.0500011444092,84.5,0,96.4000015258789,2,BK77,BK17
490,103.042943,2590.39999914169,7951.5,10.6599998474121,8572.56000709534,294,MN28,BX34
681,221.114558,6138.94000333548,17920,614.599995613098,20553.2900996208,411,MN31,QN46
1,0.583333,25.4699993133545,67.5,0,76,1,BK25,QN45
2,0.250000,6.80000019073486,21.5,0,26.2999992370605,1,BX98,MN36
301,69.929939,1328.90999871492,4467,713.549997329712,5663.84004402161,168,MN06,QN28
165144,37908.517646,546142.600065984,2050684.35000038,94.1099994666874,2364593.3012836,95130,MN12,MN24
257,24.555218,365.709999352694,1515.5,0,1746.35000228882,153,BK63,BK91
30,7.066384,133.900000095367,445.5,0,531.400001525879,18,BX59,MN25
49,4.124155,42.7399993240833,220,0,242.5,25,BX35,BX27
10,1.611111,33.4800007343292,106,0,121.299999237061,4,BK19,MN28
12,3.654163,91.3599996566772,280.5,0,309.299999237061,11,BK31,BK72
